,data_id,event_date,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities,timestamp
89,6044603,2018-12-13,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,Afrin,Afrin,Afrin,36.5111,36.8655,SOHR; Liveuamap,"YPG fighters targeted, presumably with some form of artillery Turkish forces in the area between Afrin and the Aleppo countryside, killing 1 Turkish soldier and injuring four.",1,1571164397
90,5679267,2018-12-03,Explosions/Remote violence,Shelling/artillery/missile attack,YPG: Peoples Protection Units,,Former Operation Olive Branch,Opposition Rebels (Syria),Aleppo,Afrin,Afrin,Bassilhaya,36.4603,36.9539,SOHR,"A missile, likely fired by YPG cells, targeted an opposition factions under former Operation Olive Branch in Bassilhaya in Afrin district of Aleppo province, killing 1 factions commander and wounding 3 others.",1,1564753644
91,5679271,2018-12-02,Battles,Armed clash,YPG: Peoples Protection Units,,Former Operation Olive Branch,Opposition Rebels (Syria),Aleppo,Afrin,Afrin,Deir Meshmesh,36.4634,36.9172,SOHR,"Clashes took place between armed gunmen, believed to be members of a YPG cell, against opposition rebels under former Operation Olive Branch, in Deir Meshmesh in Afrin district of Aleppo province, amid an exchange of targeting. 2 fighters were killed and several were wounded as a result of the clash.",2,1564753644
92,5679323,2018-11-30,Battles,Armed clash,YPG: Peoples Protection Units,,Former Operation Olive Branch,Opposition Rebels (Syria),Aleppo,Afrin,Bulbul,Hayamli,36.7772,36.7873,SOHR,"Clashes took place between a group of YPG fighters and an opposition faction under former Operation Olive Branch in Hayamli in northern Aleppo countryside following an attack by the former. Casualties from both sides were reported, however, no fatalities were reported.",0,1564753644
93,5840600,2018-11-19,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Al-Hasakeh,Ras Al Ain,Darbasiyah,Jatal,37.0649,40.6244,SHAM,Military Forces of Turkey targeted a YPG position in Jatal in northern al-Hasakeh countryside with machine guns. Neither fatalities nor injuries were reported.,0,1567462245
94,6077071,2018-11-19,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,Ain Al Arab,Lower Shyookh,Zur Maghar,36.8346,38.0347,Liveuamap,Military Forces of Turkey shelled Zur Maghar in eastern Aleppo countryside targeting YPG. Neither injuries nor fatalities were reported.,0,1571164571
95,6081487,2018-11-18,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Ar-Raqqa,Tell Abiad,Tell Abiad,Tell Abiad,36.6978,38.9548,Liveuamap,"Military Forces of Turkey shelled areas in Tell Abiad sub-district of Ar-Raqqa province, destroying a YPG vehicle. Neither fatalities nor injuries were reported.",0,1571164584
96,6080991,2018-11-07,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Ar-Raqqa,Tell Abiad,Suluk,Suluk,36.5967,39.1264,Liveuamap,Turkish forces targeted with heavy machine guns YPG positions near Suluk village in the countryside of Tell Abiad in Ar-Raqqa. Neither injuries nor fatalities were reported.,0,1571164583
97,5844149,2018-11-06,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Al-Hasakeh,Ras Al Ain,Ras Al Ain,Ras Al Ain,36.8494,40.0747,SHAM,"Turkish Forces shelled YPG positions in Ras Al Ain in Al-Hasakeh with heavy machine guns artillery, killing 1 YPG fighter.",1,1567462249
98,6044132,2018-11-03,Strategic developments,Change to group/activity,Military Forces of Turkey (2016-),,Former Operation Olive Branch,Opposition Rebels (Syria),Aleppo,Afrin,Afrin,Afrin,36.5111,36.8655,Liveuamap; SOHR,Movement of forces: Military Forces of Turkey transferred 700 Syrian fighters under former Operation Olive Branch from Afrin district to Turkish territory north of Ain al Arab district.,0,1571164397
